dex_number,name,type_01,type_02,ability_01,ability_02,hidden_ability,egg_group_01,egg_group_02,is_legendary,bio,hp,attack,defense,sp_attack,sp_defense,speed
#0326,Grumpig,Psychic,,Thick, Own,Gluttony,Field,,False,"Grumpig is a Psychic-type Pokémon introduced in Generation III. It evolves from Spoink starting at level 32. Grumpig is a bipedal, pig-like Pokémon. It has large ears, a pink snout, and oval eyes. The lower half of its body is black, while the upper half is purple. There are black markings on its ears and arms, while its hands and feet are purple. Its tail is pink and curly. There appear to be three shining black pearls on its body: two small ones on its head, and a larger but nearly flat pearl on its midsection where the black meets the purple. These pearls are used to amplify its psychic powers, which allow it to control its opponents. The dance it performs while using its powers is very popular. It lives on mountains. In Generation III, Magic Coat was its signature move, but other Pokémon could still inherit it via breeding. Grumpig evolves from Spoink.",80,45,65,90,110,80
#0327,Spinda,Normal,,Own, Tangled,Contrary,Field, Human-Like,False,"Spinda is a Normal-type Pokémon introduced in Generation III. It is not known to evolve into or from any other Pokémon. Spinda is a bipedal, red panda Pokémon with rabbit-like features. Its eyes are made of two black spirals, which point in the opposite direction to each other. There is a similar swirling pattern on its ears. It has a small body with short stumpy arms and legs, and its coat is primarily cream-colored. Its arms are red and it has a red stripe bordering along the bottom of its belly, as well as two small spots on the soles of its feet. It has four spots, which can appear anywhere on its face and ears, with a fifth on the back of its head. These spot patterns are different for each and every Spinda. It has dizzying, confusing, and scattering dance-like movements, though it thinks it is walking in a straight line. These movements confuse their opponents and make it difficult for them to aim at it. It lives in the mountains. Prior to Generation V, Teeter Dance was its signature move, but other Pokémon could still inherit it via breeding.",60,60,60,60,60,60
#0328,Trapinch,Ground,,Hyper, Arena,Sheer Force,Bug, DragonGen VIII+,False,"Trapinch is a Ground-type Pokémon introduced in Generation III. It evolves into Vibrava starting at level 35, which evolves into Flygon starting at level 45. Trapinch is an orange, insectoid Pokémon. It has a round body with a white underside and four stumpy legs. It also has a proportionally large head, small black eyes with twinkle-shaped pupils, and a zigzagging mouth. Trapinch's large jaws are powerful enough to crush any boulders that get in its way as it digs through the sand of the arid deserts in which it lives. It can go a week without water or food. Instead of actively hunting prey, it digs into the sand to build its bowl- or cone-shaped nests, waiting for prey to tumble inside and become trapped. When night falls, Trapinch will dig itself a spot underneath the sand and go to sleep. Due to the size of its head in contrast to its small body, Trapinch will be unable to get up after flipping over onto its back, making it vulnerable to natural predators such as Sandile. Trapinch evolves into Vibrava, which evolves into Flygon.",45,100,45,45,45,10
#0329,Vibrava,Ground, Dragon,Levitate,,,Bug, DragonGen VIII+,False,"Vibrava is a dual-type Ground/Dragon Pokémon introduced in Generation III. It evolves from Trapinch starting at level 35 and evolves into Flygon starting at level 45. Vibrava is a dragonfly-like Pokémon. It has a small head with two yellow antennae and green bulging eyes with black oval-shaped pupils. Its mouth has two large white teeth protruding from each side. It has a skinny yellow body, four skinny black legs with slender feet, and four green, rhombus-shaped wings with black edges. There are similarly-colored rhombus shapes at the end of its tail. Vibrava's wings are not fully developed, so it is unable to fly very far. However, it is able to create vibrations and ultrasonic waves with its wings. Humans get headaches from these waves. After causing the prey to faint, as a saprotroph, it spits stomach acid to melt its prey before consumption. It continues this eating process every day to help its wings grow. Vibrava calls the desert home and is also known to preserve its captured prey in the desert's hot sands. Vibrava evolves from Trapinch and evolves into Flygon.",50,70,50,50,50,70
#0330,Flygon,Ground, Dragon,Levitate,,,Bug, DragonGen VIII+,False,"Flygon is a dual-type Ground/Dragon Pokémon introduced in Generation III. It evolves from Vibrava starting at level 45. It is the final form of Trapinch. Flygon is a Pokémon that resembles a slightly insectoid, bipedal dragon. It is primarily light green and has a pair of large rhombus-shaped wings with red trim, toeless hind legs, and skinny arms with three-clawed hands. Flygon's tail has several dark green stripes and three small green rhombus shapes with red trims at the end. It has large eyes and a pair of green antennae that point back. Its eyes have red covers that prevent sand from getting into them. With its wings, it kicks up sandstorms to hide itself. Its wings make a ""singing"" sound when they are flapped, earning Flygon the name ""The Desert Spirit"". It uses this unique ability to attract prey, stranding them before it attacks. Flygon lives in the desert, and it typically works together with Krookodile in searching for food, whipping up sandstorms for Krookodile to hide in as they hunt, then splitting the prey that they manage to catch. Flygon evolves from Vibrava and is the final form of Trapinch.",80,100,80,80,80,100
#0331,Cacnea,Grass,,Sand,,Water Absorb,Grass, Human-Like,False,"Cacnea is a Grass-type Pokémon introduced in Generation III. It evolves into Cacturne starting at level 32. Cacnea is a green, bipedal Pokémon with a round body and cactus-like striations. It has a dark green rhombus shape above its face, and six dark green rhombus shapes that ring around its waist. It has dark circles around its eyes, and its mouth composed of several similar circles. It has two dark green spikes on each side of its head, along with a yellow flower bud on top of its head. It has two club-like arms that are ringed with dark green spikes, and its two stubby legs are dark green and conical. Cacnea uses its thorny arms like hammers to attack its opponents. Prior to Generation V, Needle Arm was its signature move. It is able to live in deserts for 30 days without any water, due to its body being able to store moisture. The beauty and fragrance of its yellow flower depend on the harshness of its environment. This flower releases a strong aroma to attract prey. When prey approaches, Cacnea shoots sharp thorns to bring it down. Cacnea evolves into Cacturne.",50,85,40,85,40,35
#0332,Cacturne,Grass, Dark,Sand,,Water Absorb,Grass, Human-Like,False,"Cacturne is a dual-type Grass/Dark Pokémon introduced in Generation III. It evolves from Cacnea starting at level 32. Cacturne is a humanoid, bipedal Pokémon that resembles a green scarecrow made of cacti. Its face has two eye holes through which yellow eyes can be seen, and six smaller holes representing a grinning mouth. It has numerous spikes along the length of its arms, legs, and around its neck. A pattern of green rhombi extends down the front of its body. A female has a large dark green rhombus above a smaller one, while a male has three small dark green rhombi. There is a triangular, dark green feature on its head that resembles a hat with spiky tips. Cacturne is a nocturnal Pokémon that rarely moves during the day, which allows it to hold moisture. At night, it searches for prey or follows travelers until they become exhausted. Prior to Generation V, Needle Arm was its signature move. It has lived in deserts for so long that its blood has transformed into sand. Cacturne evolves from Cacnea.",70,115,60,115,60,55
#0333,Swablu,Normal, Flying,Natural,,Cloud Nine,Flying, Dragon,False,"Swablu is a dual-type Normal/Flying Pokémon introduced in Generation III. It evolves into Altaria starting at level 35. Swablu is an avian Pokémon with a round, blue body. Since it has no discernible neck, its body appears to be all head. There are two long feathers on top of its head, and it has a short, rounded white beak and beady, black eyes. Its wings are fluffy and white, resembling cotton or clouds and are made of air. The wings have a light and fluffy feel. It has tiny, white feet and two pointed tail feathers. Swablu does not like dirty surroundings, so it cleans things with its cottony wings diligently. It uses streams, freshwater springs, or a manmade shower to wash its wings when they become dirty from polishing. It is commonly found living in flocks in forested habitats, but often flies closer to towns during the spring. Swablu is very friendly and largely unafraid of humans. As a result, it frequently perches on people's heads like a fluffy hat. Swablu can easily hide from foes in clouds thanks to its appearance. Swablu evolves into Altaria.",45,40,60,40,75,50
#0334,Altaria,Dragon, Flying,Natural,,Cloud Nine,Flying, Dragon,False,"Altaria is a dual-type Dragon/Flying Pokémon introduced in Generation III. It evolves from Swablu starting at level 35. Altaria can Mega Evolve into Mega Altaria using the Altarianite. Altaria is a blue, avian Pokémon. Its body and cloud-like wings are covered in fluffy, white feathers. It often folds its wings behind it, obscuring its back. Two long, blue plumes extend like streamers from the back of its head. It has a short, hooked beak and prominent cheek patches, both of which are white. Additionally, it has beady, black eyes. It has a long neck and short legs protruding from its fluffy body. The feet are blue with four toes, three claws forward, and one backward. The tail is made up of five feathers, the outer two being longer than the inner ones. This Pokémon uses its wings to catch updrafts and soar across the sky in a calm and graceful manner. It gracefully glides through the clouds, often while singing or humming in a soprano voice. Its voice seems to have special properties that induce a dreamy state for listeners. Altaria can be very affectionate, enveloping people it has bonded with in its cotton-like wings. While normally kind, Altaria can attack foes with shrill cries without mercy if provoked. Solana has stated that Altaria uses geomagnetic fields to navigate their flight, and any disturbances can affect their sense of direction. Altaria is often found living in forests, though it also inhabits mountain ranges. Altaria has been shown to enjoy water in both the anime and the TCG, although if its wings are exposed to too much of it, they lose their fluffiness, revealing their true anatomy. Altaria paddling in water A wet Altaria A wet Mega Altaria Altaria can Mega Evolve into Mega Altaria. Mega Altaria has more extensive cloud-like plumage, with a large, fluffy mass extending from its back. The feathers have grown as a self-protective measure, and they glimmer with an iridescent sheen. Its cottony wings are more distinct than in its base form, and its blue belly is now exposed. Additional fluff surrounds its neck like a collar, and its head is adorned with a hat-like crest. A single, small feather curls out from its forehead, though its facial features are unchanged. Its tail feathers have grown into a long, wavy streamer, with three longer central plumes. Mega Altaria's singing voice is even more beautiful than that of its regular form. It is known for its sociable personality and is not timid. Altaria evolves from Swablu.",75,70,90,70,105,80
#0335,Zangoose,Normal,,Immunity,,Toxic Boost,Field,,False,"Zangoose is a Normal-type Pokémon introduced in Generation III. It is not known to evolve into or from any other Pokémon. It is well known for its ongoing feud against Seviper. Zangoose is a bipedal Pokémon resembling a cross between a mongoose and a cat. Despite being classified as a bipedal Pokémon, it usually walks on all fours. Its fur is mostly white with deep red, scar-like markings on the face, chest, and forepaws. Its fur stands up on end when it smells its arch-enemy Seviper nearby. It has two long, black claws on its forepaws, which curl underneath the forepaws when not in use, and pink paw pads on its hind feet. It has pink eyes, long ears, and a small red nose. When it opens its mouth, two sharp fangs can be seen on its upper jaw. There are small tufts of white fur on its shoulders, and it has a large, fluffy tail. Zangoose is bitter enemies with Seviper, which it has battled for many generations. It is agile enough to easily dodge incoming threats, and it attacks foes with its sharp claws. Despite its hot-blooded and brave nature, it has been known to enjoy peaceful activities, such as listening to ocean waves. Zangoose has a strong immune system and is resistant to venom. It lives in grasslands and savannas. Zangoose is the only known Pokémon that can have Toxic Boost as an Ability. In Generation III, Crush Claw was its signature move, but other Pokémon could still inherit it via breeding.",73,115,60,60,60,90
#0336,Seviper,Poison,,Shed,,Infiltrator,Field, Dragon,False,"Seviper is a Poison-type Pokémon introduced in Generation III. It is not known to evolve into or from any other Pokémon. It is well known for its ongoing feud against Zangoose. Seviper is a serpentine Pokémon that is usually depicted scrunched up like an accordion. It is mostly covered in black scales, but it has several markings on its body. It has yellow hexagon markings that run from its head to its tail, small yellow bumps where it touches the ground, and various purple scar-like marks. It has elongated red fangs that protrude from its upper jaw and fierce red eyes. Its tail is partially red and has a blade-like shape. Seviper sharpens its tail on rocks. Seviper wraps around its opponents to make them unable to move. Its tail and fangs are venomous and are used for striking and poisoning prey or enemies. It has been bitter enemies with Zangoose for many generations. It lives in grasslands and savannas. In New Pokémon Snap, a Seviper can be seen attempting to prey on an Octillery. Prior to Generation V, Poison Tail was its signature move, but other Pokémon could still inherit it via breeding.",73,100,60,100,60,65
#0337,Lunatone,Rock, Psychic,Levitate,,,Mineral,,False,"Lunatone is a dual-type Rock/Psychic Pokémon introduced in Generation III. It is not known to evolve into or from any other Pokémon, but it is considered to be a counterpart of Solrock. Lunatone is a cream-colored, rock Pokémon with a crescent moon shape. In the center of the crescent is a pointed, beak-like structure. It has deep-set, red eyes, which can cause paralyzing fear or induce sleep. Lunatone lives in caves and becomes active under a full moon. The moon increases its power, and its health is tied to the lunar phases. Using its psychic powers, Lunatone floats through the air. It was first discovered at the site of a meteor crash. There's a theory that Lunatone may have originated from outer space.",70,55,65,95,85,70
#0338,Solrock,Rock, Psychic,Levitate,,,Mineral,,False,"Solrock is a dual-type Rock/Psychic Pokémon introduced in Generation III. It is not known to evolve into or from any other Pokémon, but it is considered to be a counterpart of Lunatone. Solrock is a primarily orange, spherical Pokémon. It has eight yellow, rocky spines extending from the sides of its body; and multiple small, yellow stony bumps running vertically along its center. On its back are dual rocky mounds, situated to the sides of the mid-line. Its large eyes consist of thick, semicircular yellow eyelids through which black sclerae and red pupils can be seen. A black ring with six extensions surrounds each eye. Solrock relies on solar energy, which it absorbs in groups during daylight. While it is always expressionless, it is able to sense the emotions and thoughts of others. It spins its body to produce intense heat and a blinding light. It is able to stay silent while floating in the air and can be found in caves. It is believed Solrock originated from space, specifically the sun.",70,95,85,55,65,70
#0339,Barboach,Water, Ground,Oblivious, Anticipation,Hydration,Water 2,,False,"Barboach is a dual-type Water/Ground Pokémon introduced in Generation III. It evolves into Whiscash starting at level 30. Barboach is a small, serpentine Pokémon that resembles a loach. The main body is a soft gray with a jagged black line running its length. Its eyes are very small, and it has a round, blue nose. It has several blue barbels that are used as a superb radar in murky water and can be used for taste as well. These whiskers are left exposed when it hides in the mud to wait for prey. There are two rounded, blue pectoral fins and a single dorsal fin, all of which have black spots. Its tail fin is also rounded and blue but possesses no spots. A slimy film covers its body, which protects Barboach from bacteria and allows it to easily escape from predators like Bird Pokémon. Barboach remains in its aquatic environment to prevent itself from drying out and becoming weak. Barboach can use its whiskers to detect the location of its prey, and to detect both smell and flavor similar to a human. Barboach evolves into Whiscash.",50,48,43,46,41,60
#0340,Whiscash,Water, Ground,Oblivious, Anticipation,Hydration,Water 2,,False,"Whiscash is a dual-type Water/Ground Pokémon introduced in Generation III. It evolves from Barboach starting at level 30. Whiscash is a dark blue, catfish-like Pokémon with a yellow underbelly. It has a cavernous mouth with light blue lips that have short, thin whiskers growing from the lower lips. Long, yellow barbels grow from its cheeks, and there is a yellow marking on its forehead that resembles a W. The light blue dorsal fin has a pattern of three spots arranged in a triangle, while its horizontal tail fin lacks spots. Its pectoral fins and belly fins match its main body color. Whiscash uses its caudal fin to cause earthquakes that can extend for over three miles by hitting the bottom of swamp beds. Whiscash can predict when natural earthquakes will occur. It also uses these massive earthquakes to drive away any foes that come near it, going on rampages in the process. This behavior, along with sightings of Whiscash's leaping from lakes, has caused people to mistaken it for starting earthquakes. It lives in a nest at the bottom of ponds and swamps, and is territorial over them. Whiscash tends to wait silently for prey to come to it. This gluttonous fish will eat anything that is alive, sometimes whole, and has been shown in the anime to eat inanimate objects as well. Whiscash also has a diet of consuming mud. Whiscash has poor eyesight, so it has to use its whiskers to detect a prey's vibration. Whiscash evolves from Barboach.",110,78,73,76,71,60
#0341,Corphish,Water,,Hyper, Shell,Adaptability,Water 1, Water 3,False,"Corphish is a Water-type Pokémon introduced in Generation III. It evolves into Crawdaunt starting at level 30. Corphish is a red-shelled, crustacean Pokémon with a short tail similar to a lobster. Its eyes are saucer-like with small pupils, and it has three spikes on top of its head. It possesses four pairs of limbs in total: two large pincers used for gripping prey, and three pairs of legs used for walking. The upper segments of its legs, the underside of its body, and lower halves of its pincers are cream-colored. A hardy creature, Corphish is able to live in polluted water and eat nearly anything. Though not native to Alola, Corphish set free by Trainers there have easily adapted and thrived in the region. Feebas and Corphish are the only Pokémon known to be able to live in stagnant ditches. Corphish and its evolved form Crawdaunt are the only known Pokémon that do not flee when a swarm of Basculin appears in the lake it lives in. Corphish evolves into Crawdaunt.",43,80,65,50,35,35
#0342,Crawdaunt,Water, Dark,Hyper, Shell,Adaptability,Water 1, Water 3,False,"Crawdaunt is a dual-type Water/Dark Pokémon introduced in Generation III. It evolves from Corphish starting at level 30. Crawdaunt is a primarily red, crustacean Pokémon with a tan underside. It has circular eyes set in deep sockets and a large, star-shaped growth on its forehead. The upper and lower halves of its underside are separated by a pattern of angular red shapes, and there are two blue stripes on its throat. Its forelimbs have two large pincers with spiked edges and tan lower halves form. There are two sets of hind limbs. The foremost pair are simple claws with two spikes, while the rear pair are large and thick with two white claws. A yellow triangle marks the base of its lobster-like tail. Crawdaunt is a very violent Pokémon that lives in ponds. Because of its constant challenges to battle, no other Pokémon wants to inhabit its territory. Not even a swarm of Basculin will drive Crawdaunt away. Any that do venture too close are tossed out of its pond with its pincers. An experienced Crawdaunt will be covered in scars from countless battles. However, it must molt regularly and its shell is soft immediately after. Once its pincers fall off, Crawdaunt turns timid until they grow back. In order to protect itself, it burrows under stream beds until its new shell hardens. Unlike the meat found in the claws of Crabrawler and Clauncher, Crawdaunt's have foul smell and taste. Crawdaunt are known to be extremely difficult to raise. Crawdaunt evolves from Corphish.",63,120,85,90,55,55
#0343,Baltoy,Ground, Psychic,Levitate,,,Mineral,,False,"Baltoy is a dual-type Ground/Psychic Pokémon introduced in Generation III. It evolves into Claydol starting at level 36. Baltoy is a small Pokémon that resembles a tan figurine made out of clay or mud. There are arching, red markings over its eyes, which usually appear closed. A red stripe encircles its body and forms a ring on its belly. It has flat appendages that resemble arms. A spike protrudes from the top of its head and another, smaller spike under its body acts as its foot. It moves by spinning on this single, pointed foot, and balances upright to sleep. Baltoy is usually found in ruins and old graveyards, where it assembles with its kind and unleashes loud cries. Old cave wall paintings depict it living with people in ancient times. As seen in the anime, an ancient civilization used Baltoy for time travel when spinning on a magic circle artifact. Baltoy evolves into Claydol.",40,40,55,40,70,55
#0344,Claydol,Ground, Psychic,Levitate,,,Mineral,,False,"Claydol is a dual-type Ground/Psychic Pokémon introduced in Generation III. It evolves from Baltoy starting at level 36. Claydol is a large, black Pokémon that resembles a mud statue with two stubby legs. It has a rounded, oblate-shaped head with a peg-like protrusion extending from the center of the top of its head. Along the circumference of its head are many round, pink eye-like structures alternating with yellow studs or beak-like protrusions between each ""eye"". An undulating, white rim runs along the upper edges of the eyes. Its torso features white ring markings, each with a downward extension and yellow dot in the middle. Two smaller orbs sit at its sides like limbs and a peg-like protrusion extends from each orb that is capable of firing various energy beams. These two orbs are not attached to its body but are usually kept floating close by Claydol's psychic powers. Claydol uses the same telekinetic abilities to move and float through the air. It lives in rough terrains. Claydol has a body that is prone to melting when wet and uses its psychic powers to protect itself from rain. It was said to have started its life as an ancient clay figure created 20,000 years ago by ancient people, who apparently modeled it after something that descended from the sky. Claydol evolves from Baltoy.",60,70,105,70,120,75
#0345,Lileep,Rock, Grass,Suction,,Storm Drain,Water 3,,False,"Lileep is a dual-type Rock/Grass Fossil Pokémon introduced in Generation III. It is resurrected from a Root Fossil and evolves into Cradily starting at level 40. Lileep is a plant like Pokémon based on a Crinoid with eight dark-tipped, pink petal-like tentacles protruding from an opening on top of its head. Inside the pitch-black opening are two glowing, yellow eyes. The remainder of its head is purple with yellow eyespots resembling targets. The head is connected to the body through a yellow stem. The body itself is purple and semi-spherical. Four stubby roots anchor this Pokémon firmly to the rocks of its home on the sea floor. In ancient times, it lived in warm seas. It waves its tentacles around to disguise itself as seaweed to attract prey, which is swallowed whole after being entangled. It has a tendency to cling to rocks on the seabed, to anchor itself during hunting. Lileep has been extinct for 100,000,000 years, but specimens can be revived from Root Fossils. Lileep evolves into Cradily.",66,41,77,61,87,23
#0346,Cradily,Rock, Grass,Suction,,Storm Drain,Water 3,,False,"Cradily is a dual-type Rock/Grass Fossil Pokémon introduced in Generation III. It evolves from Lileep starting at level 40, after it is revived from a Root Fossil. Cradily is a green, plantlike Pokémon based on a Crinoid with various yellow markings on its head, neck, and torso. There are circular, yellow eyespots on its head. However, its true eyes are concealed inside the dark, crescent opening on its head. Surrounding its head at the base are eight pink tentacles, which somewhat resemble flower petals. Its long, flexible neck has yellow bands in the center, and it can be extended to assist in capturing prey. Its body is short and squat with four stubby growths and a yellow, oval, target-like pattern on the chest. Cradily's heavy body acts as an anchor, preventing it from getting washed away by rough ocean currents. In ancient times, it built its nest in the shallows of warm seas. When the tide went out, it came up on land to search for prey. However, Cradily cannot move very fast due to its short legs. Instead, Cradily can extend its neck and tentacles by three times its usual length. It then uses its tentacles to capture them and melts them with strong digestive acidic fluid secreted by the tentacles. Cradily evolves from Lileep.",86,81,97,81,107,43
#0347,Anorith,Rock, Bug,Battle,,Swift Swim,Water 3,,False,"Anorith is a dual-type Rock/Bug Fossil Pokémon introduced in Generation III. It is resurrected from a Claw Fossil and evolves into Armaldo starting at level 40. Anorith is a greenish-gray, arthropod Pokémon that resembles an anomalocaris. A stalk extends from either side of its head, with large, spherical eyes at the tips. The middle of its head is black with two red, teardrop-shaped markings, and an X-shaped mouth is visible on the underside of its torso. Beneath its head are two large, segmented claws that serve as weapons and are used to capture prey. On each side of its body are four white appendages with red tips. These wing-like projections are used to propel Anorith through the water. Now extinct in the wild, it lived in the seas of ancient times 100,000,000 years ago. While still extinct, it has been seen under the ownership of Trainers as a result of being revived from Claw Fossils. Despite this, Anorith can no longer thrive in today's oceans because the water composition has changed since ancient times. Anorith can swim easily through the seas using its eight wings like oars from a boat. Anorith is considered the ancestor of modern bug Pokémon.",45,95,50,40,50,75
#0348,Armaldo,Rock, Bug,Battle,,Swift Swim,Water 3,,False,"Armaldo is a dual-type Rock/Bug Fossil Pokémon introduced in Generation III. It evolves from Anorith starting at level 40, after it is revived from a Claw Fossil. Armaldo is a bipedal, amphibious Pokémon that somewhat resembles a mantis shrimp. It is covered with thick, grayish-blue plates. There are accents of yellow, black, white, and red throughout its body. Its oblong eyes protrude from the sides of its head. A black pattern with two red, teardrop-shaped spots covered the center of its head and a yellow lower jaw. Three pairs of wing-like appendages extend from the sides of its long, thick neck. A plate of armor on its back has four short spikes and two triangular, yellow-rimmed wings extending from underneath. Its scaled chest and belly are rimmed with yellow lines as well, and there are two large yellow plates in the center of its chest. Its segmented arms extend from holes in these plates, each with a large, black claw. The legs are also segmented, with black knees. A pair of black fins tips its long tail. In ancient times, Armaldo lived on land by the water's edge, and dived into the ocean to hunt for prey. The large wings on its back were used for swimming, while its thick shell protected it from enemy attacks. Its strong claws can break stones, punch through a steel slab, and take down prey. Furthermore, they can be freely extended or retracted. It is considered to be the ancestor of some Bug-type Pokémon. Armaldo evolves from Anorith.",75,125,100,70,80,45
#0349,Feebas,Water,,Swift, Oblivious,Adaptability,Water 1, Dragon,False,"Feebas is a Water-type Pokémon introduced in Generation III. It evolves into Milotic when leveled up with its Beautiful condition high enough, or when traded while holding a Prism Scale.",20,15,20,10,55,80
#0350,Milotic,Water,,Marvel, Competitive,Cute Charm,Water 1, Dragon,False,"Milotic is a Water-type Pokémon introduced in Generation III. It evolves from Feebas when leveled up with its Beautiful condition high enough, or when traded while holding a Prism Scale.",95,60,79,100,125,81
#0351,Castform,Normal,,Forecast,,,Fairy, Amorphous,False,"Castform is a Normal-type Pokémon introduced in Generation III. While it is not known to evolve into or from any other Pokémon, Castform changes forms depending on the current weather.",70,70,70,70,70,70
#0352,Kecleon,Normal,,Color,,Protean,Field,,False,"Kecleon is a Normal-type Pokémon introduced in Generation III. It is not known to evolve into or from any other Pokémon. Kecleon, along with Wailmer and Azurill, was one of the first Generation III Pokémon revealed, on March 7, 2001. Kecleon is a bipedal, reptilian Pokémon that is usually green. On either side of its head are yellow frills, which are connected by lines to its yellow lips and rings around its eyes. There are small ridges on its shoulders and a red zigzag stripe around its midsection. The hands and feet have three short digits each, and it has yellow soles. It also has a long skinny tail that is usually curled tightly in a spiral. Kecleon is able to change the colors of its body at will and is known for frequently using this ability to camouflage itself. However, it is unable to change the color of its red stripe. Its color also changes based on its mood and health, darkening in color with better health. By using camouflage to appear almost invisible, it can sneak up on prey and ensnare it with its long pink tongue. If unnoticed for too long, though, it pouts and may never reveal itself. This Pokémon lives in tropical and temperate forests. Although Kecleon typically appears as green with yellow stripes, it is known to possess various non-Shiny color variations. A purplish variant of Kecleon has been seen in the anime, the TCG, and the Pokémon Mystery Dungeon series; the purplish Kecleon in the latter also has light-green outlines rather than yellow. Blue, red, and brown variants of Kecleon have made a singular appearance in the TCG. Whether these variants are an example of it changing color or if they are different kinds of Kecleon is unclear. Kecleon is the only known Pokémon that can have Color Change as an Ability. In Generation VIII, this was also true for Protean. An invisible Kecleon Kecleon's prehensile tail and tongue",60,90,70,60,120,40
#0353,Shuppet,Ghost,,Insomnia, Frisk,Cursed Body,Amorphous,,False,"Shuppet is a Ghost-type Pokémon introduced in Generation III. It evolves into Banette starting at level 37. Shuppet is a spherical, levitating Pokémon that appears to be covered by a gray cloth. Black rings surround its multicolored eyes, which have light-blue sclerae, dark-blue irises, and yellow pupils. Occasionally, it will display a large, pink tongue. Extending from the top of its head is a long, pointed horn. The horn collects the negative emotions of people, on which this Pokémon feeds. The emotions it feeds on include anger, jealousy, resentment, and malice, so some people are grateful for its presence. This also helps Shuppet become slowly stronger. A nocturnal Pokémon, Shuppet will appear in swarms beneath the eaves of houses with negative people. As such, there exists a proverb that says, “Shun the house where Shuppet gather in the growing dusk”. It is most commonly found in cities and other urban settings and will retreat to the nest in which it lives when the sun rises. Shuppet evolves into Banette.",44,75,35,63,33,45
#0354,Banette,Ghost,,Insomnia, Frisk,Cursed Body,Amorphous,,False,"Banette is a Ghost-type Pokémon introduced in Generation III. It evolves from Shuppet starting at level 37. Banette can Mega Evolve into Mega Banette using the Banettite. Banette is a dark gray, doll-like Pokémon that is possessed by pure hatred. It has three short spikes on its head and a long zigzagging ribbon trailing off the back of its head. A zipper acts as its mouth, and it has purplish-pink eyes with slit pupils. Its long, flat arms have three-fingered hands, while its legs are short and stubby. It has a yellow, brush-like tail. Being driven to life by a powerful grudge, it keeps its life force safely in its body by the means of its zipped up mouth. If unzipped, it would lose its energy. It lays curses on others by using its body as a voodoo doll and sticking pins into itself. It lives in garbage dumps and dark alleys, where it searches for the person that threw it away before it became a Pokémon. It is said that treating it with enough care will satisfy its grudge and will turn it back into a stuffed toy. Banette can Mega Evolve into Mega Banette. As Mega Banette, this Pokémon gains several additional zippers: one running diagonally across its face, one on each hand, and another on its body. The first zipper runs from its left eye to the tip of its central spike. The other three are all unzipped, revealing parts of Mega Banette's cursed purple body. Its three long purple fingers and body revealing two pointed, purple legs are visible. Its zigzagging ribbon becomes somewhat erect, and now has two zipper rings around it and a short zipper on the tip. It gains four further spikes: one on the top and bottom of each hand and one on each hip. However, it loses its brush-like tail. When it Mega Evolves, it is filled with so much power and vindictiveness it cannot help cursing its Trainer. Banette evolves from Shuppet.",64,115,65,83,63,65
#0355,Duskull,Ghost,,Levitate,,Frisk,Amorphous,,False,"Duskull is a Ghost-type Pokémon introduced in Generation III. It evolves into Dusclops starting at level 37, which evolves into Dusknoir when traded while holding a Reaper Cloth.",20,40,90,30,90,25
#0356,Dusclops,Ghost,,Pressure,,Frisk,Amorphous,,False,Dusclops is a Ghost-type Pokémon introduced in Generation III. It evolves from Duskull starting at level 37 and evolves into Dusknoir when traded while holding a Reaper Cloth.,40,70,130,60,130,25
#0357,Tropius,Grass, Flying,Chlorophyll, Solar,Harvest,Monster, Grass,False,"Tropius is a dual-type Grass/Flying Pokémon introduced in Generation III. It is not known to evolve into or from any other Pokémon. Tropius is a large, sauropod-like Pokémon with a brown body wrapped in green leaves on its chest and head. It possesses large, broad green leaves on its back, which it uses for flight and for sugar production via photosynthesis. Despite being very big and bulky, it is surprisingly maneuverable in the air. It has a long neck with a thin black line around it. It uses its neck for reaching treetops to gorge on its most favored fruit. Since it ate only this kind of fruit continuously, the fruit began to grow around its neck. These yellow, banana-like fruits can be picked and consumed by other Pokémon or humans, and grow twice a year because of the rapid production of sugar in Tropius's leaves. Its feet have toenails the same color as its fruit. In warm areas, there are ranches that raise Tropius. In Alola, its fruit is especially sweet compared to those of other regions. It lives in tropical jungles. In the TCG, Tropius was shown existing before the time Fossil Pokémon went extinct.",99,68,83,72,87,51
#0358,Chimecho,Psychic,,Levitate,,,Amorphous,,False,"Chimecho is a Psychic-type Pokémon introduced in Generation III. It evolves from Chingling when leveled up with high friendship during the night. Chimecho is a small, round Pokémon with a mainly bluish-white body shaped like a fūrin wind chime. It has beady, yellow eyes and three stubby limbs. Its body has a horizontal amaranth-colored pattern. Underneath its body extends a long, tag-like tail that has amaranth patterning at the bottom. A yellow, globular growth, referred to as a suction cup or a sucker, is connected to the top of its body. Chimecho can create ultrasonic sound waves and other noises. It uses seven different echoing cries to communicate with others. It is nocturnal and usually lives in grasslands and woods, but some are found in mountainous regions. An omnivorous species, it eats Berries that it plucks with its tail and can knock out large prey using powerful waves of air, which are thought to be created by Chimecho amplifying the faint sound of wind inside its body. Chimecho evolves from Chingling.",65,50,70,95,80,65
